,name,song_id_x,song_name,genre,feature_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,number_sections,avg_duration,std_duration,std_loudness,std_tempo,number_keys
943,Red Hot Chili Peppers,47INZai2CsZtzBQAIqLmof,Funky Monks,"alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",47INZai2CsZtzBQAIqLmof323333,0.567,0.659,0.0,-10.635,1.0,0.0499,0.00168,0.00158,0.0513,0.61,90.519,323333.0,4.0,11,29.39392909090909,19.04205100989148,7.147185732224194,1.6692322840700795,7.0
944,Bruce Springsteen,47pgnnmY0R0spkwAMMWpNq,Because the Night,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",47pgnnmY0R0spkwAMMWpNq205147,0.342,0.79,0.0,-5.765,1.0,0.0393,0.088,0.000133,0.121,0.542,113.027,205147.0,4.0,11,18.649699090909092,7.691155608737162,4.67249511114098,5.201229975164091,4.0
945,Fleetwood Mac,47QCcoUKxDP1vuli0LwT8G,Peacekeeper,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",47QCcoUKxDP1vuli0LwT8G250760,0.604,0.759,7.0,-4.896,0.0,0.0317,0.136,1.38e-05,0.101,0.671,127.208,250760.0,4.0,11,22.79635454545454,13.922035748938706,3.346693543294228,0.20315059349252151,3.0
946,The Rolling Stones,47WiJCfLnjBBmxJbuhBsfV,Around And Around - Top Gear / 1964,"album rock, british invasion, classic rock, protopunk, rock",47WiJCfLnjBBmxJbuhBsfV165627,0.358,0.723,2.0,-8.688,1.0,0.0597,0.149,0.0691,0.0874,0.686,181.658,165627.0,4.0,7,23.66096142857143,17.432005853202348,0.7575012494096245,1.9857753073871622,3.0
947,Kendrick Lamar,48eRbXw17B6NheEXkvluWb,Black Boy Fly - Bonus Track,"conscious hip hop, hip hop, rap, west coast rap",48eRbXw17B6NheEXkvluWb279147,0.593,0.731,1.0,-5.21,1.0,0.149,0.108,1.52e-06,0.103,0.61,160.084,279147.0,4.0,9,31.01630666666667,21.773080490961767,9.16417874116388,0.6302655084257086,2.0
948,Fleetwood Mac,48RNuXTMCBloZsriQQwnj8,Skies the Limit - 2002 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",48RNuXTMCBloZsriQQwnj8226227,0.654,0.759,2.0,-6.007,1.0,0.0267,0.309,9.29e-06,0.139,0.587,120.069,226227.0,4.0,10,22.622660000000003,10.436974507564706,8.45103189031441,0.08816909259422362,3.0
949,The Rolling Stones,49faFxZuSPXOt1GB18oJi0,All The Way Down,"album rock, british invasion, classic rock, protopunk, rock",49faFxZuSPXOt1GB18oJi0192760,0.578,0.861,4.0,-9.917,1.0,0.0578,0.213,0.804,0.426,0.778,142.874,192760.0,4.0,11,17.523630909090908,9.958690127775295,7.837765703195128,0.7935187802096724,4.0
950,Kanye West,49fT6owWuknekShh9utsjv,Feedback,"chicago rap, rap",49fT6owWuknekShh9utsjv147240,0.811,0.566,8.0,-6.033,0.0,0.517,0.563,0.0,0.104,0.169,100.224,147240.0,4.0,7,21.03428,16.237706362316075,6.811681870489982,1.9584021305038264,5.0
951,The Rolling Stones,49Js7VXTW5zl07AdwltJ7Z,The Spider And The Fly - Yeah Yeah / 1965,"album rock, british invasion, classic rock, protopunk, rock",49Js7VXTW5zl07AdwltJ7Z194160,0.683,0.633,4.0,-10.846,1.0,0.109,0.0301,0.782,0.109,0.892,111.757,194160.0,4.0,9,21.573334444444445,12.802234381322963,1.9766199685321402,2.422133053277164,3.0
952,Bruce Springsteen,4a0oZYU2ntSUof4lkm2PCl,Downbound Train,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",4a0oZYU2ntSUof4lkm2PCl215427,0.544,0.762,10.0,-7.289,1.0,0.0382,0.0585,0.0,0.074,0.473,120.023,215427.0,4.0,10,21.542675000000003,10.511752014795684,9.331994799255588,1.1309728359052476,4.0
953,The Rolling Stones,4A4dDKVaoruaFbgUJIufXk,Soul Survivor,"album rock, british invasion, classic rock, protopunk, rock",4A4dDKVaoruaFbgUJIufXk228840,0.337,0.919,5.0,-3.94,1.0,0.0431,0.183,0.186,0.286,0.525,114.748,228840.0,4.0,10,22.883996,13.261712860538038,4.775806795133619,3.791992271733803,3.0
954,Red Hot Chili Peppers,4aAu1APORWioiUZOjUgmR4,Falling into Grace,"alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",4aAu1APORWioiUZOjUgmR4228093,0.564,0.89,4.0,-3.798,0.0,0.0637,0.0287,0.000138,0.114,0.628,83.637,228093.0,4.0,8,28.5116625,15.67892853536122,0.6220208425538719,0.8385069106964562,4.0
955,The Rolling Stones,4aEXvHWq17sBtWRh50cNbe,Emotional Rescue,"album rock, british invasion, classic rock, protopunk, rock",4aEXvHWq17sBtWRh50cNbe340480,0.678,0.627,5.0,-5.297,1.0,0.0593,0.121,0.0701,0.0379,0.784,113.391,340480.0,4.0,14,24.320004285714283,13.751442124025065,6.138999607535309,3.144280124289182,5.0
956,JAY-Z,4AKGxJq7lp5CT08pA7PDxF,22 Two's,"east coast hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",4AKGxJq7lp5CT08pA7PDxF208973,0.665,0.879,7.0,-7.007,1.0,0.311,0.656,0.0,0.634,0.447,92.015,208973.0,4.0,9,23.21925555555556,13.859032089319145,5.998148570832318,0.742627224416425,7.0
957,Bruce Springsteen,4AnTU0gMQaQIDnoDWy0Dvx,Cindy - Single LP Version - 1979,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",4AnTU0gMQaQIDnoDWy0Dvx145733,0.665,0.607,4.0,-9.005,1.0,0.0284,0.0499,0.0123,0.129,0.817,118.559,145733.0,4.0,7,20.819042857142854,8.61368386519518,1.866013882457419,0.6202831918529164,2.0
958,Bruce Springsteen,4b3FVdEci0ngvQ14dbcUky,TV Movie - Studio Outtake - 1983,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",4b3FVdEci0ngvQ14dbcUky164600,0.361,0.967,2.0,-7.138,1.0,0.0416,0.00573,0.0,0.108,0.964,167.538,164600.0,4.0,8,20.575016249999997,11.252866572823551,1.5574768743983696,1.4774994077832888,2.0
959,Kendrick Lamar,4BHSjbYylfOH5WAGusDyni,YAH.,"conscious hip hop, hip hop, rap, west coast rap",4BHSjbYylfOH5WAGusDyni160293,0.67,0.7,1.0,-7.893,1.0,0.196,0.576,5.34e-06,0.226,0.648,69.986,160293.0,4.0,8,20.036654999999996,9.49388146564031,0.7550021286630356,0.26677220753722813,3.0
960,Kanye West,4BhwlQ9mTwhFGXpQvP9JTV,Lil Jimmy Skit,"chicago rap, rap",4BhwlQ9mTwhFGXpQvP9JTV53640,0.64,0.279,10.0,-12.396,1.0,0.484,0.803,0.0,0.375,0.741,82.475,53640.0,4.0,4,13.410002500000001,5.26158185568038,3.653246318915091,1.2905524656776475,3.0
961,Bruce Springsteen,4BlOigB3NT7DiwHgikD9C8,Meet Me In The City - Studio Outtake - 1979,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",4BlOigB3NT7DiwHgikD9C8215213,0.253,0.956,9.0,-5.663,1.0,0.128,0.00439,0.0,0.11,0.78,171.362,215213.0,4.0,14,15.372392857142858,7.505043692628854,1.8900774694861961,3.972689138230057,5.0
962,Bruce Springsteen,4C2XA7HSJyii3qBNaVvWXh,Car Wash - Studio Outtake - 1983,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",4C2XA7HSJyii3qBNaVvWXh125733,0.623,0.862,9.0,-6.826,1.0,0.0356,0.0301,0.0,0.146,0.779,119.328,125733.0,4.0,7,17.961902857142857,8.4686411689277,2.6121315051122527,45.11049040490946,2.0
963,Fleetwood Mac,4C6um1v4oCpbfBbZNTDry8,Heroes Are Hard to Find (Single) - 2018 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",4C6um1v4oCpbfBbZNTDry8166813,0.652,0.751,2.0,-8.541,1.0,0.0279,0.172,0.000258,0.203,0.922,99.355,166813.0,4.0,6,27.802233333333334,20.154641368077645,5.778480126007762,0.7756967620576124,3.0
964,Fleetwood Mac,4C9AuaGVl4wEPV1VttUpHm,Dust My Broom,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",4C9AuaGVl4wEPV1VttUpHm173173,0.593,0.48,2.0,-7.596,1.0,0.0289,0.505,6.99e-05,0.381,0.655,102.985,173173.0,4.0,7,24.739039999999996,9.496703413423697,0.8484208580539212,1.0667017256143236,2.0
965,Kanye West,4cAgkb0ifwn0FSHGXnr4F6,New Slaves,"chicago rap, rap",4cAgkb0ifwn0FSHGXnr4F6256093,0.579,0.59,1.0,-4.322,1.0,0.0708,0.166,1.09e-05,0.096,0.361,150.189,256093.0,4.0,9,28.45480444444444,23.88522494580442,7.242586867119909,4.570971590130241,6.0
966,The Rolling Stones,4cAlWy0jWMtn5AdtZy4dHi,Before They Make Me Run - Remastered,"album rock, british invasion, classic rock, protopunk, rock",4cAlWy0jWMtn5AdtZy4dHi204960,0.595,0.955,0.0,-2.304,1.0,0.117,0.384,0.0175,0.05,0.714,132.653,204960.0,4.0,10,20.496003,8.411332619685115,6.861545469741736,0.8411568488958845,3.0
967,The Rolling Stones,4Cg8Nl5JjI4Df0AMbm18u7,Sweet Black Angel,"album rock, british invasion, classic rock, protopunk, rock",4Cg8Nl5JjI4Df0AMbm18u7177667,0.498,0.728,7.0,-7.387,1.0,0.0373,0.65,0.000172,0.114,0.609,174.33,177667.0,4.0,9,19.74073555555556,8.775190999196415,10.201320858104602,1.4954238529594241,3.0
968,Bruce Springsteen,4cKJsZuzbNBpdxeMC9pBQG,Backstreets,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",4cKJsZuzbNBpdxeMC9pBQG390147,0.225,0.889,7.0,-4.371,1.0,0.0337,0.201,0.734,0.379,0.599,96.02,390147.0,4.0,15,26.009784666666665,18.996481126749636,7.908991406409963,25.436365959183792,5.0
